Latitude,PPFD,FvFm_mean,qP,qL,NPQ,phiPSII,phiNPQ,phiNO_new
44.99013,378.052,0.594260982,0.652251392,0.535811724,0.678361315,0.312391197,0.265663401,0.406737224
44.99013,448.5965,0.593573747,0.626375549,0.512665448,0.770013257,0.292074391,0.294268638,0.397772861
44.99013,519.141,0.592892968,0.592950446,0.482687979,0.833087068,0.270997721,0.315892654,0.394447815
44.99013,589.6855,0.592684006,0.577117401,0.470337655,0.897185146,0.25922568,0.334245472,0.38774242
44.99013,660.23,0.593315622,0.555870193,0.448867464,0.919050446,0.248598517,0.343665225,0.388589867
44.99013,730.7745,0.593190943,0.544531605,0.440451465,0.959344969,0.240656176,0.355056615,0.384319565
44.99013,871.8635,0.591680298,0.513362773,0.410749852,0.975022846,0.22507832,0.363367316,0.38888772
44.99013,95.874,0.575780127,0.818695814,0.706830938,0.19350726,0.440021809,0.086554827,0.469202491
44.99013,166.4185,0.571480253,0.789563671,0.674950349,0.245127307,0.413225385,0.110540603,0.472510205
44.99013,236.963,0.567707331,0.740157298,0.62101942,0.332697086,0.37322572,0.148240064,0.469931215
44.99013,307.5075,0.565981396,0.695312183,0.57912396,0.434644941,0.338892494,0.189901889,0.460172532
44.99013,378.052,0.566941959,0.655553406,0.538694087,0.511767478,0.312042097,0.220644612,0.454093398
44.99013,448.5965,0.565070975,0.621424838,0.508086288,0.565580171,0.28976188,0.241961525,0.451743258
44.99013,519.141,0.565420794,0.598444973,0.488016039,0.622233466,0.274847213,0.262394205,0.444428551
44.99013,589.6855,0.564887628,0.583559835,0.4748498,0.66104959,0.263950355,0.276559658,0.440825772
44.99013,660.23,0.563812175,0.565766968,0.458690344,0.690072061,0.253279186,0.287018491,0.439412826
44.99013,730.7745,0.565731254,0.556099651,0.45086741,0.720792334,0.247361568,0.297484469,0.434656401
44.99013,871.8635,0.564883258,0.526388165,0.423363942,0.738830695,0.232557655,0.307140098,0.438301013
34.09004,95.874,0.564156349,0.896726374,0.823159186,0.211781753,0.465878873,0.091337851,0.44145311
34.09004,166.4185,0.563921655,0.86293611,0.780259555,0.367130932,0.422560094,0.152421997,0.421998238
34.09004,236.963,0.563500331,0.812018169,0.722016669,0.579179561,0.369261786,0.227317827,0.398897638
34.09004,307.5075,0.562096379,0.734532297,0.638683773,0.783952854,0.312882586,0.296287934,0.384352525
34.09004,378.052,0.56190655,0.669759291,0.574577425,0.942273836,0.272479957,0.34605362,0.373448897
34.09004,448.5965,0.562359029,0.618877607,0.527246052,1.07875185,0.242635467,0.385807793,0.363107519
34.09004,519.141,0.562732312,0.572213858,0.48162325,1.159624471,0.220255441,0.410436297,0.360034887
34.09004,589.6855,0.562840489,0.542849451,0.455510666,1.232626601,0.205140707,0.429945726,0.354973739
34.09004,660.23,0.56242208,0.515274114,0.428774985,1.262946101,0.193130622,0.440211708,0.355524213
34.09004,730.7745,0.562201801,0.487882729,0.403967969,1.302804605,0.180654783,0.452387556,0.354475118
34.09004,871.8635,0.562855253,0.452709736,0.370603917,1.336617407,0.166455617,0.464643341,0.355446025
34.09004,95.874,0.471116634,0.704308064,0.616999898,0.293306145,0.293858532,0.152037393,0.539186689
34.09004,166.4185,0.46685008,0.665131566,0.5795778,0.374648618,0.265044932,0.189967252,0.527881155
34.09004,236.963,0.469206475,0.654085081,0.570365999,0.445029303,0.254459118,0.217223229,0.509234303
34.09004,307.5075,0.468553031,0.628416333,0.545534908,0.485935359,0.240413321,0.235154586,0.504496326
34.09004,378.052,0.468152605,0.615761963,0.534186368,0.525403076,0.23176917,0.249516209,0.497322497
34.09004,448.5965,0.465800387,0.605183958,0.524619821,0.557753836,0.223156741,0.262104338,0.492610907
34.09004,519.141,0.467042565,0.591257393,0.511797046,0.574956277,0.217138013,0.268743176,0.490489004
34.09004,589.6855,0.467741968,0.582555382,0.502626908,0.585836283,0.21364026,0.273216163,0.490133426
34.09004,660.23,0.467456349,0.568540415,0.488351665,0.594179617,0.207669737,0.277274381,0.491247554
34.09004,730.7745,0.46733982,0.562386249,0.482848774,0.587720577,0.205606274,0.275878262,0.493820323
34.09004,871.8635,0.467013938,0.544233355,0.464655959,0.581462781,0.198475653,0.277085357,0.49981953
34.09004,95.874,0.439323841,0.738236609,0.661337177,0.302912689,0.281811228,0.159154803,0.561010974
34.09004,166.4185,0.434890581,0.698274173,0.621949252,0.374406246,0.256067534,0.192806277,0.549425038
34.09004,236.963,0.435087126,0.659680436,0.582324542,0.430996644,0.236649469,0.218957617,0.541345496
34.09004,307.5075,0.433654645,0.620485232,0.54376658,0.465321242,0.219508683,0.236754178,0.539591677
34.09004,378.052,0.434045436,0.604973322,0.528902229,0.495205627,0.211241965,0.249289943,0.533472702
34.09004,448.5965,0.433803993,0.569768011,0.493499076,0.499062838,0.199798814,0.254291411,0.539771028
34.09004,519.141,0.4349367,0.567476915,0.492159156,0.513742134,0.197587031,0.259402656,0.535024191
34.09004,589.6855,0.434428972,0.551171783,0.476068395,0.522466814,0.191643976,0.264188571,0.536159528
