pop,lat,PPFD,FvFmprime,qP,qL,qN,NPQ,phiPSII,phiNPQ,phiNO,JETR,JNPQ,JNO,Jtot,phiNO_new,FvFmprime_mean,FvFm_mean
DS,39.026,1154.0415,0.420027261,0.456148654,0.358878772,0.538034075,0.42479036,0.193322393,0.223501148,0.583176459,205.1570988,237.1833205,618.8770404,1061.21746,0.560152168,0.420027261,0.502089376
DS,39.026,1295.1305,0.420222297,0.439349028,0.342504829,0.534167676,0.422176942,0.186023078,0.223216679,0.590760242,221.5456959,265.8417171,703.5707092,1190.958122,0.566329343,0.420222297,0.501611333
DS,39.026,1436.2195,0.424469051,0.425636815,0.330117589,0.520294633,0.409771743,0.182038582,0.219943975,0.598017442,240.4181345,290.479741,789.8009103,1320.698786,0.573886675,0.424469051,0.503927881
DS,39.026,95.874,0.514796413,0.759647839,0.640821028,0.261130167,0.185023559,0.395165828,0.090274726,0.514559446,34.83880012,7.958843887,45.36483779,88.16248179,0.501072745,0.514796413,0.554377215
DS,39.026,166.4185,0.504344734,0.729086821,0.611334198,0.307441599,0.224829687,0.371732934,0.109877672,0.518389394,56.88733682,16.8148893,79.33058753,153.0328137,0.50376207,0.504344734,0.551734322
DS,39.026,236.963,0.491281171,0.694457588,0.575565541,0.360169757,0.271473224,0.345484859,0.132300154,0.522214987,75.2822375,28.82861971,113.7922883,217.9031455,0.505681039,0.491281171,0.547517357
DS,39.026,307.5075,0.482854279,0.676305959,0.558334945,0.402161487,0.310668459,0.330673183,0.15036657,0.518960247,93.50560583,42.51967788,146.7481937,282.7734774,0.502049716,0.482854279,0.546270687
DS,39.026,378.052,0.472854358,0.640292924,0.523085883,0.442943882,0.352126154,0.307014911,0.170740106,0.522244982,106.7318332,59.35674084,181.5552349,347.6438089,0.504041807,0.472854358,0.543442652
DS,39.026,448.5965,0.468875649,0.623610041,0.50770469,0.468591554,0.379488757,0.296351745,0.183453057,0.520195198,122.2492856,75.67698024,214.5878753,412.5141411,0.501521462,0.468875649,0.544353651
DS,39.026,519.141,0.462927171,0.621044491,0.508146561,0.493942255,0.406947348,0.291225861,0.194060006,0.514714133,139.0267042,92.64123369,245.7165351,477.384473,0.494767896,0.462927171,0.542916124
DS,39.026,589.6855,0.458775602,0.595024726,0.482421803,0.515482645,0.43272734,0.276378223,0.206835555,0.516786222,149.8674194,112.1575735,280.2298119,542.2548048,0.495867341,0.458775602,0.543030647
DS,39.026,660.23,0.457281548,0.581193368,0.469187391,0.523114266,0.444296894,0.26853878,0.212381725,0.519079495,163.0366435,128.9422838,315.1462094,607.1251367,0.497163061,0.457281548,0.543403499
DS,39.026,730.7745,0.455513293,0.561041416,0.449774693,0.530830177,0.4534953,0.258151078,0.218887579,0.522961342,173.4763546,147.0914612,351.427652,671.9954679,0.500292735,0.455513293,0.543218907
DS,39.026,871.8635,0.451285916,0.532802488,0.423679261,0.554033094,0.483321233,0.243326884,0.232581,0.524092117,195.0839549,186.4685914,420.1835868,801.7361331,0.500445716,0.451285916,0.543682354
DS,39.026,1012.9525,0.447462062,0.521572542,0.413897551,0.562838156,0.497788594,0.23591611,0.238494852,0.525589038,219.7503823,222.1524206,489.5739931,931.476796,0.50024799,0.447462062,0.541827264
DS,39.026,1154.0415,0.446462707,0.510020496,0.402140097,0.562931087,0.497667707,0.229306072,0.24002968,0.530664248,243.3436072,254.7236873,563.1501652,1061.21746,0.504235716,0.446462707,0.540721176
DS,39.026,1295.1305,0.446102066,0.496131577,0.39136729,0.570132825,0.506511166,0.22312883,0.245131709,0.531739462,265.7370927,291.9416001,633.2794318,1190.958125,0.505402069,0.446102066,0.541814651
DS,39.026,1436.2195,0.448762784,0.48405025,0.378699075,0.554627201,0.490938384,0.218978099,0.240966165,0.540055736,289.2041098,318.2437219,713.2509555,1320.698787,0.513295675,0.448762784,0.541898829
DS,39.026,95.874,0.471646882,0.842456452,0.759436004,0.227109147,0.136839548,0.400915901,0.068821586,0.530262513,35.34574082,6.067481823,46.74925915,88.16248179,0.534308719,0.471646882,0.501500442
DS,39.026,166.4185,0.455044518,0.792461733,0.697921,0.334265519,0.216641789,0.365201377,0.10629421,0.528504413,55.88779427,16.26650203,80.87851735,153.0328137,0.524184077,0.455044518,0.501107577
DS,39.026,236.963,0.426034579,0.715603055,0.616330784,0.494009606,0.363428423,0.310040791,0.170302065,0.519657144,67.5588636,37.10935565,113.2349263,217.9031455,0.509136331,0.426034579,0.497851008
DS,39.026,307.5075,0.403035654,0.644186318,0.546407336,0.616159067,0.505366085,0.265251195,0.226735991,0.508012814,75.00600279,64.11492462,143.65255,282.7734774,0.491298173,0.403035654,0.496624948
DS,39.026,378.052,0.389927513,0.600432359,0.506280959,0.691436706,0.617302262,0.239426865,0.26557813,0.494995006,83.23526738,92.32659276,172.0819494,347.6438096,0.473076329,0.389927513,0.498903806
DS,39.026,448.5965,0.380682493,0.548787408,0.457257881,0.739826132,0.692517568,0.214740656,0.293182725,0.492076619,88.58355727,120.94202,202.9885638,412.5141411,0.467039417,0.380682493,0.499171613
DS,39.026,519.141,0.374662405,0.509395538,0.421335157,0.773317575,0.755179856,0.196027016,0.315595577,0.488377408,93.58025372,150.6604282,233.1437915,477.3844734,0.460501089,0.374662405,0.50104181
DS,39.026,589.6855,0.371698643,0.501263126,0.414580702,0.78903014,0.790084705,0.191036073,0.324707258,0.484256668,103.5902285,176.0740708,262.590505,542.2548043,0.454322765,0.371698643,0.501867593
DS,39.026,660.23,0.3692216,0.47955962,0.394887773,0.805992541,0.824076258,0.181920938,0.336516222,0.48156284,110.4487743,204.3074573,292.3689051,607.1251367,0.450885141,0.3692216,0.503663425
DS,39.026,730.7745,0.368185118,0.458284804,0.374684372,0.812028853,0.844302839,0.173414958,0.343575554,0.483009488,116.534066,230.8812154,324.5801872,671.9954685,0.45057901,0.368185118,0.504751764
DS,39.026,871.8635,0.362091371,0.462304942,0.381010411,0.831976934,0.871609227,0.171520474,0.350410015,0.478069511,137.5141614,280.9363701,383.2856007,801.7361323,0.444739795,0.362091371,0.501497726
